cell,domain,s,reuse,pattern,breadth,realized_selectivity,union_share,n_queries,A,B,C,CBO,D,O,D_plus,optimal,regret_D,regret_CBO,regret_D_plus,regret_C,regret_A,regret_B,C_over_A,C_over_B,D_over_CBO,D_over_O,A_over_O,B_over_O,union_rows,semantic_rows_A,semantic_rows_B,semantic_rows_C,semantic_rows_D,tokens_A,tokens_D,switches_D,plan_hist_D,p95_A,p95_D
ecom|s1|r1|PRED_OVERLAP|c4,ecom,1,1,PRED_OVERLAP,4,0.0097,0.0097,1,9.73136,0.093606,0.093916,0.093606,0.093606,0.093606,0.093606,B,0.0,0.0,0.0,0.00332,102.96086,0.0,0.0097,1.0033,1.0,1.0,103.9609,1.0,388,40000,388,388,388,3727256,35862,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,7726.6
ecom|s1|r1|PRED_MUTEX|c1,ecom,1,1,PRED_MUTEX,1,0.01,0.01,1,2.595764,0.02585,0.02593,0.02585,0.02585,0.02585,0.02585,B,0.0,0.0,0.0,0.00309,99.4164,0.0,0.01,1.0031,1.0,1.0,100.4164,1.0,100,10000,100,100,100,1058958,10532,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2092.0
ecom|s1|r1|PRED_MUTEX|c2,ecom,1,1,PRED_MUTEX,2,0.01,0.01,1,5.194296,0.051636,0.051796,0.051636,0.051636,0.051636,0.051636,B,0.0,0.0,0.0,0.0031,99.59447,0.0,0.01,1.0031,1.0,1.0,100.5945,1.0,200,20000,200,200,200,2011724,20000,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,4252.2
ecom|s1|r1|PRED_MUTEX|c4,ecom,1,1,PRED_MUTEX,4,0.01,0.01,1,9.73136,0.096608,0.096928,0.096608,0.096608,0.096608,0.096608,B,0.0,0.0,0.0,0.00331,99.73037,0.0,0.01,1.0033,1.0,1.0,100.7304,1.0,400,40000,400,400,400,3727256,37036,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,7972.6
ecom|s1|r10|PRED_SHARED|c1,ecom,1,10,PRED_SHARED,1,0.0103,0.0103,10,2.596484,0.266035,0.027406,0.053929,0.053929,0.027406,0.053929,C,0.9678,0.9678,0.9678,0.0,93.74179,8.70722,0.0106,0.103,1.0,1.9678,94.7418,9.7072,103,10000,1030,103,206,1058958,21712,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2151.55
ecom|s1|r10|PRED_SHARED|c2,ecom,1,10,PRED_SHARED,2,0.0103,0.0103,10,5.195016,0.53197,0.054082,0.107199,0.107199,0.054082,0.107199,C,0.98216,0.98216,0.98216,0.0,95.05849,8.8364,0.0104,0.1017,1.0,1.9822,96.0585,9.8364,206,20000,2060,206,412,2011724,41250,1,"{""EAGER"": 0, ""LATE_PERSIST"": 9, ""PER_QUERY"": 1}",13.4,4379.1
ecom|s1|r10|PRED_SHARED|c4,ecom,1,10,PRED_SHARED,4,0.0103,0.0103,10,9.73208,0.99586,0.100636,0.200142,0.200142,0.100636,0.200142,C,0.98878,0.98878,0.98878,0.0,95.70614,8.8957,0.0103,0.1011,1.0,1.9888,96.7061,9.8957,412,40000,4120,412,824,3727256,76412,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,8216.2
ecom|s1|r10|PRED_DISTINCT|c1,ecom,1,10,PRED_DISTINCT,1,0.00944,0.0899,10,2.596484,0.245122,0.234155,0.239622,0.239622,0.234155,0.239622,C,0.02335,0.02335,0.02335,0.0,10.08875,0.04684,0.0902,0.9553,1.0,1.0233,11.0888,1.0468,899,10000,944,899,921,1058958,97589,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2349.55
ecom|s1|r10|PRED_DISTINCT|c2,ecom,1,10,PRED_DISTINCT,2,0.00944,0.0899,10,5.195016,0.489812,0.467895,0.478809,0.478809,0.467895,0.478809,C,0.02333,0.02333,0.02333,0.0,10.10294,0.04684,0.0901,0.9553,1.0,1.0233,11.1029,1.0468,1798,20000,1888,1798,1842,2011724,185415,5,"{""EAGER"": 0, ""LATE_PERSIST"": 6, ""PER_QUERY"": 4}",13.4,4775.7
ecom|s1|r10|PRED_DISTINCT|c4,ecom,1,10,PRED_DISTINCT,4,0.00944,0.0899,10,9.73208,0.916888,0.876043,0.896399,0.896399,0.876043,0.896399,C,0.02324,0.02324,0.02324,0.0,10.10914,0.04662,0.09,0.9555,1.0,1.0232,11.1091,1.0466,3596,40000,3776,3596,3684,3727256,343568,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,8956.0
