cell,domain,s,reuse,pattern,breadth,realized_selectivity,union_share,n_queries,A,B,C,CBO,D,O,D_plus,optimal,regret_D,regret_CBO,regret_D_plus,regret_C,regret_A,regret_B,C_over_A,C_over_B,D_over_CBO,D_over_O,A_over_O,B_over_O,union_rows,semantic_rows_A,semantic_rows_B,semantic_rows_C,semantic_rows_D,tokens_A,tokens_D,switches_D,plan_hist_D,p95_A,p95_D
ecom|s25|r50|PRED_MUTEX|c4,ecom,25,50,PRED_MUTEX,4,0.02,1.0,50,9.73528,9.70328,9.73528,9.70328,9.70328,9.70328,9.70328,B,0.0,0.0,0.0,0.0033,0.0033,0.0,1.0,1.0033,1.0,1.0,1.0033,1.0,40000,40000,40000,40000,40000,3727256,3727256,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,16048.8
ecom|s25|r100|PRED_SHARED|c1,ecom,25,100,PRED_SHARED,1,0.2511,0.2511,100,2.603684,64.95815,0.65951,1.309012,3.253185,0.65951,2.603684,C,3.93273,0.98482,2.9479,0.0,2.9479,97.49452,0.2533,0.0102,2.4852,4.9327,3.9479,98.4945,2511,10000,251100,2511,12511,1058958,1324833,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,13.4
ecom|s25|r100|PRED_SHARED|c2,ecom,25,100,PRED_SHARED,2,0.2511,0.2511,100,5.202216,130.0109,1.312047,2.612076,6.502245,1.312047,5.202216,C,3.9558,0.99084,2.96496,0.0,2.96496,98.09015,0.2522,0.0101,2.4893,4.9558,3.965,99.0902,5022,20000,502200,5022,25022,2011724,2516861,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,13.4
ecom|s25|r100|PRED_SHARED|c4,ecom,25,100,PRED_SHARED,4,0.2511,0.2511,100,9.73928,243.5438,2.451393,4.886751,12.174638,2.451393,9.73928,C,3.96642,0.99346,2.97296,0.0,2.97296,98.34914,0.2517,0.0101,2.4914,4.9664,3.973,99.3491,10044,40000,1004400,10044,50044,3727256,4663208,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,13.4
ecom|s25|r100|PRED_DISTINCT|c1,ecom,25,100,PRED_DISTINCT,1,0.2503,1.0,100,2.603684,64.774464,2.603684,3.259311,3.259311,2.603684,2.603684,A,0.25181,0.25181,0.0,0.0,0.0,23.87801,1.0,0.0402,1.0,1.2518,1.0,24.878,10000,10000,250300,10000,12537,1058958,1327185,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,16936.1
ecom|s25|r100|PRED_DISTINCT|c2,ecom,25,100,PRED_DISTINCT,2,0.2503,1.0,100,5.202216,129.61238,5.202216,6.514203,6.514203,5.202216,5.202216,A,0.2522,0.2522,0.0,0.0,0.0,23.91484,1.0,0.0401,1.0,1.2522,1.0,24.9148,20000,20000,500600,20000,25074,2011724,2521239,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,34557.8
ecom|s25|r100|PRED_DISTINCT|c4,ecom,25,100,PRED_DISTINCT,4,0.2503,1.0,100,9.73928,242.768412,9.73928,12.196546,12.196546,9.73928,9.73928,A,0.2523,0.2523,0.0,0.0,0.0,23.92673,1.0,0.0401,1.0,1.2523,1.0,24.9267,40000,40000,1001200,40000,50148,3727256,4671144,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,64923.2
ecom|s25|r100|PRED_NESTED|c1,ecom,25,100,PRED_NESTED,1,0.25198,0.4895,100,2.603684,65.198832,1.27893,1.291888,2.616643,1.27893,2.616643,C,1.04596,0.01013,1.04596,0.0,1.03583,49.97922,0.4912,0.0196,2.0254,2.046,2.0358,50.9792,4895,10000,251976,4895,10050,1058958,1064253,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,1228.0
ecom|s25|r100|PRED_NESTED|c2,ecom,25,100,PRED_NESTED,2,0.25198,0.4895,100,5.202216,130.478896,2.551301,2.577203,5.228118,2.551301,5.228118,C,1.0492,0.01015,1.0492,0.0,1.03904,50.1421,0.4904,0.0196,2.0286,2.0492,2.039,51.1421,9790,20000,503952,9790,20100,2011724,2021778,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2488.2
ecom|s25|r100|PRED_NESTED|c4,ecom,25,100,PRED_NESTED,4,0.25198,0.4895,100,9.73928,244.408608,4.772974,4.821462,9.787768,4.772974,9.787768,C,1.05066,0.01016,1.05066,0.0,1.04051,50.20678,0.4901,0.0195,2.03,2.0507,2.0405,51.2068,19580,40000,1007904,19580,40200,3727256,3745878,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,4660.6
ecom|s25|r100|PRED_OVERLAP|c1,ecom,25,100,PRED_OVERLAP,1,0.23834,1.0,100,2.603684,61.67402,2.603684,3.222546,3.222546,2.603684,2.603684,A,0.23769,0.23769,0.0,0.0,0.0,22.68721,1.0,0.0422,1.0,1.2377,1.0,23.6872,10000,10000,238345,10000,12389,1058958,1312232,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,12924.7
ecom|s25|r100|PRED_OVERLAP|c2,ecom,25,100,PRED_OVERLAP,2,0.23834,1.0,100,5.202216,123.423259,5.202216,6.440491,6.440491,5.202216,5.202216,A,0.23803,0.23803,0.0,0.0,0.0,22.72513,1.0,0.0421,1.0,1.238,1.0,23.7251,20000,20000,476690,20000,24778,2011724,2492881,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,26356.2
ecom|s25|r100|PRED_OVERLAP|c4,ecom,25,100,PRED_OVERLAP,4,0.23834,1.0,100,9.73928,231.190966,9.73928,12.058706,12.058706,9.73928,9.73928,A,0.23815,0.23815,0.0,0.0,0.0,22.73799,1.0,0.0421,1.0,1.2382,1.0,23.738,40000,40000,953380,40000,49556,3727256,4618788,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,49505.2
ecom|s25|r100|PRED_MUTEX|c1,ecom,25,100,PRED_MUTEX,1,0.01,1.0,100,2.603684,2.595684,2.603684,2.595684,2.595684,2.595684,2.595684,B,0.0,0.0,0.0,0.00308,0.00308,0.0,1.0,1.0031,1.0,1.0,1.0031,1.0,10000,10000,10000,10000,10000,1058958,1058958,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2111.2
ecom|s25|r100|PRED_MUTEX|c2,ecom,25,100,PRED_MUTEX,2,0.01,1.0,100,5.202216,5.186216,5.202216,5.186216,5.186216,5.186216,5.186216,B,0.0,0.0,0.0,0.00309,0.00309,0.0,1.0,1.0031,1.0,1.0,1.0031,1.0,20000,20000,20000,20000,20000,2011724,2011724,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,4288.2
ecom|s25|r100|PRED_MUTEX|c4,ecom,25,100,PRED_MUTEX,4,0.01,1.0,100,9.73928,9.70728,9.73928,9.70728,9.70728,9.70728,9.70728,B,0.0,0.0,0.0,0.0033,0.0033,0.0,1.0,1.0033,1.0,1.0,1.0033,1.0,40000,40000,40000,40000,40000,3727256,3727256,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,8043.4
ecom|s50|r1|PRED_SHARED|c1,ecom,50,1,PRED_SHARED,1,0.4952,0.4952,1,2.595764,1.28179,1.285752,1.28179,1.28179,1.28179,1.28179,B,0.0,0.0,0.0,0.00309,1.02511,0.0,0.4953,1.0031,1.0,1.0,2.0251,1.0,4952,10000,4952,4952,4952,1058958,524557,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,103347.45
ecom|s50|r1|PRED_SHARED|c2,ecom,50,1,PRED_SHARED,2,0.4952,0.4952,1,5.194296,2.56496,2.572883,2.56496,2.56496,2.56496,2.56496,B,0.0,0.0,0.0,0.00309,1.0251,0.0,0.4953,1.0031,1.0,1.0,2.0251,1.0,9904,20000,9904,9904,9904,2011724,996536,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,210789.1
ecom|s50|r1|PRED_SHARED|c4,ecom,50,1,PRED_SHARED,4,0.4952,0.4952,1,9.73136,4.804468,4.820314,4.804468,4.804468,4.804468,4.804468,B,0.0,0.0,0.0,0.0033,1.02548,0.0,0.4953,1.0033,1.0,1.0,2.0255,1.0,19808,40000,19808,19808,19808,3727256,1846406,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,395960.4
ecom|s50|r1|PRED_DISTINCT|c1,ecom,50,1,PRED_DISTINCT,1,0.514,0.514,1,2.595764,1.330258,1.33437,1.330258,1.330258,1.330258,1.330258,B,0.0,0.0,0.0,0.00309,0.95132,0.0,0.5141,1.0031,1.0,1.0,1.9513,1.0,5140,10000,5140,5140,5140,1058958,544320,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,107260.3
ecom|s50|r1|PRED_DISTINCT|c2,ecom,50,1,PRED_DISTINCT,2,0.514,0.514,1,5.194296,2.661784,2.670008,2.661784,2.661784,2.661784,2.661784,B,0.0,0.0,0.0,0.00309,0.95143,0.0,0.514,1.0031,1.0,1.0,1.9514,1.0,10280,20000,10280,10280,10280,2011724,1034038,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,218754.0
ecom|s50|r1|PRED_DISTINCT|c4,ecom,50,1,PRED_DISTINCT,4,0.514,0.514,1,9.73136,4.985596,5.002044,4.985596,4.985596,4.985596,4.985596,B,0.0,0.0,0.0,0.0033,0.9519,0.0,0.514,1.0033,1.0,1.0,1.9519,1.0,20560,40000,20560,20560,20560,3727256,1915814,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,410901.4
ecom|s50|r1|PRED_NESTED|c1,ecom,50,1,PRED_NESTED,1,0.4952,0.4952,1,2.595764,1.28179,1.285752,1.28179,1.28179,1.28179,1.28179,B,0.0,0.0,0.0,0.00309,1.02511,0.0,0.4953,1.0031,1.0,1.0,2.0251,1.0,4952,10000,4952,4952,4952,1058958,524557,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,103347.45
ecom|s50|r1|PRED_NESTED|c2,ecom,50,1,PRED_NESTED,2,0.4952,0.4952,1,5.194296,2.56496,2.572883,2.56496,2.56496,2.56496,2.56496,B,0.0,0.0,0.0,0.00309,1.0251,0.0,0.4953,1.0031,1.0,1.0,2.0251,1.0,9904,20000,9904,9904,9904,2011724,996536,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,210789.1
ecom|s50|r1|PRED_NESTED|c4,ecom,50,1,PRED_NESTED,4,0.4952,0.4952,1,9.73136,4.804468,4.820314,4.804468,4.804468,4.804468,4.804468,B,0.0,0.0,0.0,0.0033,1.02548,0.0,0.4953,1.0033,1.0,1.0,2.0255,1.0,19808,40000,19808,19808,19808,3727256,1846406,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,395960.4
ecom|s50|r1|PRED_OVERLAP|c1,ecom,50,1,PRED_OVERLAP,1,0.4408,0.4408,1,2.595764,1.1401,1.143626,1.1401,1.1401,1.1401,1.1401,B,0.0,0.0,0.0,0.00309,1.27679,0.0,0.4406,1.0031,1.0,1.0,2.2768,1.0,4408,10000,4408,4408,4408,1058958,466548,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,91924.6
ecom|s50|r1|PRED_OVERLAP|c2,ecom,50,1,PRED_OVERLAP,2,0.4408,0.4408,1,5.194296,2.2816,2.288653,2.2816,2.2816,2.2816,2.2816,B,0.0,0.0,0.0,0.00309,1.2766,0.0,0.4406,1.0031,1.0,1.0,2.2766,1.0,8816,20000,8816,8816,8816,2011724,886324,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,187510.2
ecom|s50|r1|PRED_OVERLAP|c4,ecom,50,1,PRED_OVERLAP,4,0.4408,0.4408,1,9.73136,4.273672,4.287778,4.273672,4.273672,4.273672,4.273672,B,0.0,0.0,0.0,0.0033,1.27705,0.0,0.4406,1.0033,1.0,1.0,2.277,1.0,17632,40000,17632,17632,17632,3727256,1642124,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,352233.4
ecom|s50|r1|PRED_MUTEX|c1,ecom,50,1,PRED_MUTEX,1,0.5,0.5,1,2.595764,1.293684,1.297684,1.293684,1.293684,1.293684,1.293684,B,0.0,0.0,0.0,0.00309,1.00649,0.0,0.4999,1.0031,1.0,1.0,2.0065,1.0,5000,10000,5000,5000,5000,1058958,529480,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,104301.6
ecom|s50|r1|PRED_MUTEX|c2,ecom,50,1,PRED_MUTEX,2,0.5,0.5,1,5.194296,2.589072,2.597072,2.589072,2.589072,2.589072,2.589072,B,0.0,0.0,0.0,0.00309,1.00624,0.0,0.5,1.0031,1.0,1.0,2.0062,1.0,10000,20000,10000,10000,10000,2011724,1005924,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 1}",13.4,212768.2
ecom|s50|r1|PRED_MUTEX|c4,ecom,50,1,PRED_MUTEX,4,0.5,0.5,1,9.73136,4.849848,4.865848,4.849848,4.849848,4.849848,4.849848,B,0.0,0.0,0.0,0.0033,1.00653,0.0,0.5,1.0033,1.0,1.0,2.0065,1.0,20000,40000,20000,20000,20000,3727256,1863812,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,399701.4
ecom|s50|r10|PRED_SHARED|c1,ecom,50,10,PRED_SHARED,1,0.4952,0.4952,10,2.596484,12.8179,1.286472,2.568182,3.878194,1.286472,2.596484,C,2.0146,0.9963,1.0183,0.0,1.0183,8.96361,0.4955,0.1004,1.5101,3.0146,2.0183,9.9636,4952,10000,49520,4952,14952,1058958,1583515,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,105309.45
ecom|s50|r10|PRED_SHARED|c2,ecom,50,10,PRED_SHARED,2,0.4952,0.4952,10,5.195016,25.6496,2.573603,5.138483,7.759896,2.573603,5.195016,C,2.01519,0.99661,1.01858,0.0,1.01858,8.96642,0.4954,0.1003,1.5102,3.0152,2.0186,9.9664,9904,20000,99040,9904,29904,2011724,3008260,3,"{""EAGER"": 1, ""LATE_PERSIST"": 8, ""PER_QUERY"": 1}",13.4,214782.7
ecom|s50|r10|PRED_SHARED|c4,ecom,50,10,PRED_SHARED,4,0.4952,0.4952,10,9.73208,48.04468,4.821034,9.625422,14.536468,4.821034,9.73208,C,2.01522,0.99655,1.01867,0.0,1.01867,8.96564,0.4954,0.1003,1.5102,3.0152,2.0187,9.9656,19808,40000,198080,19808,59808,3727256,5573662,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,403441.2
ecom|s50|r10|PRED_DISTINCT|c1,ecom,50,10,PRED_DISTINCT,1,0.50326,0.9993,10,2.596484,13.025933,2.594665,3.921963,3.921963,2.594665,2.594665,C,0.51155,0.51155,0.0,0.0,0.0007,4.02028,0.9993,0.1992,1.0,1.5115,1.0007,5.0203,9993,10000,50326,9993,15122,1058958,1601364,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,107260.3
ecom|s50|r10|PRED_DISTINCT|c2,ecom,50,10,PRED_DISTINCT,2,0.50326,0.9993,10,5.195016,26.06445,5.19138,7.847333,7.847333,5.19138,5.19138,C,0.51161,0.51161,0.0,0.0,0.0007,4.02072,0.9993,0.1992,1.0,1.5116,1.0007,5.0207,19986,20000,100652,19986,30244,2011724,3042128,1,"{""EAGER"": 0, ""LATE_PERSIST"": 9, ""PER_QUERY"": 1}",13.4,218754.0
ecom|s50|r10|PRED_DISTINCT|c4,ecom,50,10,PRED_DISTINCT,4,0.50326,0.9993,10,9.73208,48.819968,9.725272,14.700022,14.700022,9.725272,9.725272,C,0.51153,0.51153,0.0,0.0,0.0007,4.01991,0.9993,0.1992,1.0,1.5115,1.0007,5.0199,39972,40000,201304,39972,60488,3727256,5636338,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,410901.4
ecom|s50|r10|PRED_NESTED|c1,ecom,50,10,PRED_NESTED,1,0.49939,0.9073,10,2.596484,12.922465,2.355751,2.595278,2.595278,2.355751,2.836011,C,0.10168,0.10168,0.20387,0.0,0.10219,4.4855,0.9073,0.1823,1.0,1.1017,1.1022,5.4855,9073,10000,49939,9073,9999,1058958,1058750,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,38940.7
ecom|s50|r10|PRED_NESTED|c2,ecom,50,10,PRED_NESTED,2,0.49939,0.9073,10,5.195016,25.859585,4.713136,5.192606,5.192606,4.713136,5.674486,C,0.10173,0.10173,0.20397,0.0,0.10224,4.4867,0.9072,0.1823,1.0,1.1017,1.1022,5.4867,18146,20000,99878,18146,19998,2011724,2011319,1,"{""EAGER"": 0, ""LATE_PERSIST"": 9, ""PER_QUERY"": 1}",13.4,79439.4
ecom|s50|r10|PRED_NESTED|c4,ecom,50,10,PRED_NESTED,4,0.49939,0.9073,10,9.73208,48.43785,8.829088,9.727328,9.727328,8.829088,10.63032,C,0.10174,0.10174,0.20401,0.0,0.10227,4.48617,0.9072,0.1823,1.0,1.1017,1.1023,5.4862,36292,40000,199756,36292,39996,3727256,3726476,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,149234.8
ecom|s50|r10|PRED_OVERLAP|c1,ecom,50,10,PRED_OVERLAP,1,0.43723,0.9579,10,2.596484,11.313166,2.487547,3.594703,3.594703,2.487547,2.596484,C,0.44508,0.44508,0.04379,0.0,0.04379,3.54792,0.958,0.2199,1.0,1.4451,1.0438,4.5479,9579,10000,43723,9579,13861,1058958,1467681,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,91924.6
ecom|s50|r10|PRED_OVERLAP|c2,ecom,50,10,PRED_OVERLAP,2,0.43723,0.9579,10,5.195016,22.640349,4.976987,7.192804,7.192804,4.976987,5.195016,C,0.44521,0.44521,0.04381,0.0,0.04381,3.54901,0.958,0.2198,1.0,1.4452,1.0438,4.549,19158,20000,87446,19158,27722,2011724,2788211,1,"{""EAGER"": 0, ""LATE_PERSIST"": 9, ""PER_QUERY"": 1}",13.4,187510.2
ecom|s50|r10|PRED_OVERLAP|c4,ecom,50,10,PRED_OVERLAP,4,0.43723,0.9579,10,9.73208,42.408998,9.323655,13.47418,13.47418,9.323655,9.73208,C,0.44516,0.44516,0.04381,0.0,0.04381,3.54854,0.958,0.2199,1.0,1.4452,1.0438,4.5485,38316,40000,174892,38316,55444,3727256,5165912,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,352233.4
ecom|s50|r10|PRED_MUTEX|c1,ecom,50,10,PRED_MUTEX,1,0.1,1.0,10,2.596484,2.588484,2.596484,2.588484,2.588484,2.588484,2.588484,B,0.0,0.0,0.0,0.00309,0.00309,0.0,1.0,1.0031,1.0,1.0,1.0031,1.0,10000,10000,10000,10000,10000,1058958,1058958,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,20912.65
ecom|s50|r10|PRED_MUTEX|c2,ecom,50,10,PRED_MUTEX,2,0.1,1.0,10,5.195016,5.179016,5.195016,5.179016,5.179016,5.179016,5.179016,B,0.0,0.0,0.0,0.00309,0.00309,0.0,1.0,1.0031,1.0,1.0,1.0031,1.0,20000,20000,20000,20000,20000,2011724,2011724,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 10}",13.4,42631.5
ecom|s50|r10|PRED_MUTEX|c4,ecom,50,10,PRED_MUTEX,4,0.1,1.0,10,9.73208,9.70008,9.73208,9.70008,9.70008,9.70008,9.70008,B,0.0,0.0,0.0,0.0033,0.0033,0.0,1.0,1.0033,1.0,1.0,1.0033,1.0,40000,40000,40000,40000,40000,3727256,3727256,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,80069.2
ecom|s50|r50|PRED_SHARED|c1,ecom,50,50,PRED_SHARED,1,0.4952,0.4952,50,2.599684,64.0895,1.289672,2.571382,3.881394,1.289672,2.599684,C,2.0096,0.99383,1.01577,0.0,1.01577,48.69443,0.4961,0.0201,1.5095,3.0096,2.0158,49.6944,4952,10000,247600,4952,14952,1058958,1583515,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,103347.45
ecom|s50|r50|PRED_SHARED|c2,ecom,50,50,PRED_SHARED,2,0.4952,0.4952,50,5.198216,128.248,2.576803,5.141683,7.763096,2.576803,5.198216,C,2.01268,0.99537,1.01731,0.0,1.01731,48.7702,0.4957,0.0201,1.5098,3.0127,2.0173,49.7702,9904,20000,495200,9904,29904,2011724,3008260,3,"{""EAGER"": 1, ""LATE_PERSIST"": 48, ""PER_QUERY"": 1}",13.4,210789.1
ecom|s50|r50|PRED_SHARED|c4,ecom,50,50,PRED_SHARED,4,0.4952,0.4952,50,9.73528,240.2234,4.824234,9.628622,14.539668,4.824234,9.73528,C,2.01388,0.99589,1.01799,0.0,1.01799,48.79513,0.4955,0.0201,1.51,3.0139,2.018,49.7951,19808,40000,990400,19808,59808,3727256,5573662,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,395960.4
ecom|s50|r50|PRED_DISTINCT|c1,ecom,50,50,PRED_DISTINCT,1,0.50027,1.0,50,2.599684,64.729372,2.599684,3.929862,3.929862,2.599684,2.599684,A,0.51167,0.51167,0.0,0.0,0.0,23.89894,1.0,0.0402,1.0,1.5117,1.0,24.8989,10000,10000,250137,10000,15140,1058958,1603278,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,52113.9
ecom|s50|r50|PRED_DISTINCT|c2,ecom,50,50,PRED_DISTINCT,2,0.50027,1.0,50,5.198216,129.524711,5.198216,7.85992,7.85992,5.198216,5.198216,A,0.51204,0.51204,0.0,0.0,0.0,23.91715,1.0,0.0401,1.0,1.512,1.0,24.9171,20000,20000,500274,20000,30280,2011724,3045762,1,"{""EAGER"": 0, ""LATE_PERSIST"": 49, ""PER_QUERY"": 1}",13.4,106228.6
ecom|s50|r50|PRED_DISTINCT|c4,ecom,50,50,PRED_DISTINCT,4,0.50027,1.0,50,9.73528,242.606346,9.73528,14.720796,14.720796,9.73528,9.73528,A,0.51211,0.51211,0.0,0.0,0.0,23.92033,1.0,0.0401,1.0,1.5121,1.0,24.9203,40000,40000,1000548,40000,60560,3727256,5643070,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,199488.0
ecom|s50|r50|PRED_NESTED|c1,ecom,50,50,PRED_NESTED,1,0.49976,0.9806,50,2.599684,64.662502,2.54926,2.604128,2.654552,2.54926,2.654552,C,0.0413,0.02152,0.0413,0.0,0.01978,24.36521,0.9806,0.0394,1.0194,1.0413,1.0198,25.3652,9806,10000,249879,9806,10212,1058958,1081403,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,5125.05
ecom|s50|r50|PRED_NESTED|c2,ecom,50,50,PRED_NESTED,2,0.49976,0.9806,50,5.198216,129.397929,5.097276,5.207044,5.307984,5.097276,5.307984,C,0.04134,0.02153,0.04134,0.0,0.0198,24.3857,0.9806,0.0394,1.0194,1.0413,1.0198,25.3857,19612,20000,499758,19612,20424,2011724,2054358,3,"{""EAGER"": 1, ""LATE_PERSIST"": 48, ""PER_QUERY"": 1}",13.4,10436.5
ecom|s50|r50|PRED_NESTED|c4,ecom,50,50,PRED_NESTED,4,0.49976,0.9806,50,9.73528,242.37677,9.546111,9.751687,9.940856,9.546111,9.940856,C,0.04135,0.02154,0.04135,0.0,0.01982,24.39011,0.9806,0.0394,1.0194,1.0414,1.0198,25.3901,39224,40000,999516,39224,40848,3727256,3806240,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,19589.4
ecom|s50|r50|PRED_OVERLAP|c1,ecom,50,50,PRED_OVERLAP,1,0.43844,1.0,50,2.599684,56.715775,2.599684,3.739704,3.739704,2.599684,2.599684,A,0.43852,0.43852,0.0,0.0,0.0,20.81641,1.0,0.0458,1.0,1.4385,1.0,21.8164,10000,10000,219219,10000,14408,1058958,1525506,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,28835.2
ecom|s50|r50|PRED_OVERLAP|c2,ecom,50,50,PRED_OVERLAP,2,0.43844,1.0,50,5.198216,113.503121,5.198216,7.479736,7.479736,5.198216,5.198216,A,0.4389,0.4389,0.0,0.0,0.0,20.83501,1.0,0.0458,1.0,1.4389,1.0,21.835,20000,20000,438438,20000,28816,2011724,2898048,1,"{""EAGER"": 0, ""LATE_PERSIST"": 49, ""PER_QUERY"": 1}",13.4,58837.8
ecom|s50|r50|PRED_OVERLAP|c4,ecom,50,50,PRED_OVERLAP,4,0.43844,1.0,50,9.73528,212.609358,9.73528,14.008872,14.008872,9.73528,9.73528,A,0.43898,0.43898,0.0,0.0,0.0,20.83906,1.0,0.0458,1.0,1.439,1.0,21.8391,40000,40000,876876,40000,57632,3727256,5369380,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,110539.0
ecom|s50|r50|PRED_MUTEX|c1,ecom,50,50,PRED_MUTEX,1,0.02,1.0,50,2.599684,2.591684,2.599684,2.591684,2.591684,2.591684,2.591684,B,0.0,0.0,0.0,0.00309,0.00309,0.0,1.0,1.0031,1.0,1.0,1.0031,1.0,10000,10000,10000,10000,10000,1058958,1058958,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,4208.85
ecom|s50|r50|PRED_MUTEX|c2,ecom,50,50,PRED_MUTEX,2,0.02,1.0,50,5.198216,5.182216,5.198216,5.182216,5.182216,5.182216,5.182216,B,0.0,0.0,0.0,0.00309,0.00309,0.0,1.0,1.0031,1.0,1.0,1.0031,1.0,20000,20000,20000,20000,20000,2011724,2011724,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 50}",13.4,8561.2
ecom|s50|r50|PRED_MUTEX|c4,ecom,50,50,PRED_MUTEX,4,0.02,1.0,50,9.73528,9.70328,9.73528,9.70328,9.70328,9.70328,9.70328,B,0.0,0.0,0.0,0.0033,0.0033,0.0,1.0,1.0033,1.0,1.0,1.0033,1.0,40000,40000,40000,40000,40000,3727256,3727256,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,16068.6
ecom|s50|r100|PRED_SHARED|c1,ecom,50,100,PRED_SHARED,1,0.4952,0.4952,100,2.603684,128.179,1.293672,2.575382,3.885394,1.293672,2.603684,C,2.00339,0.99075,1.01263,0.0,1.01263,98.08156,0.4969,0.0101,1.5087,3.0034,2.0126,99.0816,4952,10000,495200,4952,14952,1058958,1583515,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,13.4
