cell,scope,reuse,union_share,cap_share,pred_C_beats_A,actual_C_beats_A,correct
ecom|s1|r50|DISJOINT|w1|WORKLOAD,WORKLOAD,50,0.4014,1.0,1,1,1
ecom|s1|r50|DISJOINT|w1|CAP_10PCT,CAP_10PCT,50,0.4014,0.1,0,1,0
ecom|s1|r50|DISJOINT|w1|CELL,CELL,50,0.4014,0.02,0,1,0
ecom|s1|r50|DISJOINT|w2|WORKLOAD,WORKLOAD,50,0.3809,1.0,1,1,1
ecom|s1|r50|DISJOINT|w2|CAP_10PCT,CAP_10PCT,50,0.3809,0.1,0,1,0
ecom|s1|r50|DISJOINT|w2|CELL,CELL,50,0.3809,0.02,0,1,0
ecom|s1|r50|DISJOINT|w4|WORKLOAD,WORKLOAD,50,0.401,1.0,1,1,1
ecom|s1|r50|DISJOINT|w4|CAP_10PCT,CAP_10PCT,50,0.401,0.1,0,1,0
ecom|s1|r50|DISJOINT|w4|CELL,CELL,50,0.401,0.02,0,1,0
ecom|s1|r50|OVERLAP|w1|WORKLOAD,WORKLOAD,50,0.23,1.0,1,1,1
ecom|s1|r50|OVERLAP|w1|CAP_10PCT,CAP_10PCT,50,0.23,0.1,0,1,0
ecom|s1|r50|OVERLAP|w1|CELL,CELL,50,0.23,0.02,0,1,0
ecom|s1|r50|OVERLAP|w2|WORKLOAD,WORKLOAD,50,0.2273,1.0,1,1,1
ecom|s1|r50|OVERLAP|w2|CAP_10PCT,CAP_10PCT,50,0.2273,0.1,0,1,0
ecom|s1|r50|OVERLAP|w2|CELL,CELL,50,0.2273,0.02,0,1,0
ecom|s1|r50|OVERLAP|w4|WORKLOAD,WORKLOAD,50,0.2319,1.0,1,1,1
ecom|s1|r50|OVERLAP|w4|CAP_10PCT,CAP_10PCT,50,0.2319,0.1,0,1,0
ecom|s1|r50|OVERLAP|w4|CELL,CELL,50,0.2319,0.02,0,1,0
ecom|s1|r50|NESTED|w1|WORKLOAD,WORKLOAD,50,0.0212,1.0,1,1,1
ecom|s1|r50|NESTED|w1|CAP_10PCT,CAP_10PCT,50,0.0212,0.1,1,1,1
ecom|s1|r50|NESTED|w1|CELL,CELL,50,0.0212,0.02,0,1,0
ecom|s1|r50|NESTED|w2|WORKLOAD,WORKLOAD,50,0.0212,1.0,1,1,1
ecom|s1|r50|NESTED|w2|CAP_10PCT,CAP_10PCT,50,0.0212,0.1,1,1,1
ecom|s1|r50|NESTED|w2|CELL,CELL,50,0.0212,0.02,0,1,0
ecom|s1|r50|NESTED|w4|WORKLOAD,WORKLOAD,50,0.0212,1.0,1,1,1
ecom|s1|r50|NESTED|w4|CAP_10PCT,CAP_10PCT,50,0.0212,0.1,1,1,1
ecom|s1|r50|NESTED|w4|CELL,CELL,50,0.0212,0.02,0,1,0
ecom|s1|r100|DISJOINT|w1|WORKLOAD,WORKLOAD,100,0.6517,1.0,1,1,1
ecom|s1|r100|DISJOINT|w1|CAP_10PCT,CAP_10PCT,100,0.6517,0.1,0,1,0
ecom|s1|r100|DISJOINT|w1|CELL,CELL,100,0.6517,0.01,0,0,1
ecom|s1|r100|DISJOINT|w2|WORKLOAD,WORKLOAD,100,0.6219,1.0,1,1,1
ecom|s1|r100|DISJOINT|w2|CAP_10PCT,CAP_10PCT,100,0.6219,0.1,0,1,0
ecom|s1|r100|DISJOINT|w2|CELL,CELL,100,0.6219,0.01,0,1,0
ecom|s1|r100|DISJOINT|w4|WORKLOAD,WORKLOAD,100,0.6343,1.0,1,1,1
ecom|s1|r100|DISJOINT|w4|CAP_10PCT,CAP_10PCT,100,0.6343,0.1,0,1,0
ecom|s1|r100|DISJOINT|w4|CELL,CELL,100,0.6343,0.01,0,1,0
ecom|s1|r100|OVERLAP|w1|WORKLOAD,WORKLOAD,100,0.4013,1.0,1,1,1
ecom|s1|r100|OVERLAP|w1|CAP_10PCT,CAP_10PCT,100,0.4013,0.1,0,1,0
ecom|s1|r100|OVERLAP|w1|CELL,CELL,100,0.4013,0.01,0,0,1
ecom|s1|r100|OVERLAP|w2|WORKLOAD,WORKLOAD,100,0.3975,1.0,1,1,1
ecom|s1|r100|OVERLAP|w2|CAP_10PCT,CAP_10PCT,100,0.3975,0.1,0,1,0
ecom|s1|r100|OVERLAP|w2|CELL,CELL,100,0.3975,0.01,0,1,0
ecom|s1|r100|OVERLAP|w4|WORKLOAD,WORKLOAD,100,0.4031,1.0,1,1,1
ecom|s1|r100|OVERLAP|w4|CAP_10PCT,CAP_10PCT,100,0.4031,0.1,0,1,0
ecom|s1|r100|OVERLAP|w4|CELL,CELL,100,0.4031,0.01,0,0,1
ecom|s1|r100|NESTED|w1|WORKLOAD,WORKLOAD,100,0.0212,1.0,1,1,1
ecom|s1|r100|NESTED|w1|CAP_10PCT,CAP_10PCT,100,0.0212,0.1,1,1,1
ecom|s1|r100|NESTED|w1|CELL,CELL,100,0.0212,0.01,0,0,1
ecom|s1|r100|NESTED|w2|WORKLOAD,WORKLOAD,100,0.0212,1.0,1,1,1
ecom|s1|r100|NESTED|w2|CAP_10PCT,CAP_10PCT,100,0.0212,0.1,1,1,1
ecom|s1|r100|NESTED|w2|CELL,CELL,100,0.0212,0.01,0,0,1
ecom|s1|r100|NESTED|w4|WORKLOAD,WORKLOAD,100,0.0212,1.0,1,1,1
ecom|s1|r100|NESTED|w4|CAP_10PCT,CAP_10PCT,100,0.0212,0.1,1,1,1
ecom|s1|r100|NESTED|w4|CELL,CELL,100,0.0212,0.01,0,0,1
ecom|s5|r1|DISJOINT|w1|WORKLOAD,WORKLOAD,1,0.0482,1.0,1,1,1
ecom|s5|r1|DISJOINT|w1|CAP_10PCT,CAP_10PCT,1,0.0482,0.1,1,1,1
ecom|s5|r1|DISJOINT|w1|CELL,CELL,1,0.0482,1.0,1,1,1
ecom|s5|r1|DISJOINT|w2|WORKLOAD,WORKLOAD,1,0.0503,1.0,1,1,1
ecom|s5|r1|DISJOINT|w2|CAP_10PCT,CAP_10PCT,1,0.0503,0.1,1,1,1
ecom|s5|r1|DISJOINT|w2|CELL,CELL,1,0.0503,1.0,1,1,1
ecom|s5|r1|DISJOINT|w4|WORKLOAD,WORKLOAD,1,0.0496,1.0,1,1,1
ecom|s5|r1|DISJOINT|w4|CAP_10PCT,CAP_10PCT,1,0.0496,0.1,1,1,1
ecom|s5|r1|DISJOINT|w4|CELL,CELL,1,0.0496,1.0,1,1,1
ecom|s5|r1|OVERLAP|w1|WORKLOAD,WORKLOAD,1,0.0495,1.0,1,1,1
ecom|s5|r1|OVERLAP|w1|CAP_10PCT,CAP_10PCT,1,0.0495,0.1,1,1,1
ecom|s5|r1|OVERLAP|w1|CELL,CELL,1,0.0495,1.0,1,1,1
ecom|s5|r1|OVERLAP|w2|WORKLOAD,WORKLOAD,1,0.0517,1.0,1,1,1
ecom|s5|r1|OVERLAP|w2|CAP_10PCT,CAP_10PCT,1,0.0517,0.1,1,1,1
ecom|s5|r1|OVERLAP|w2|CELL,CELL,1,0.0517,1.0,1,1,1
ecom|s5|r1|OVERLAP|w4|WORKLOAD,WORKLOAD,1,0.0521,1.0,1,1,1
ecom|s5|r1|OVERLAP|w4|CAP_10PCT,CAP_10PCT,1,0.0521,0.1,1,1,1
ecom|s5|r1|OVERLAP|w4|CELL,CELL,1,0.0521,1.0,1,1,1
ecom|s5|r1|NESTED|w1|WORKLOAD,WORKLOAD,1,0.0531,1.0,1,1,1
ecom|s5|r1|NESTED|w1|CAP_10PCT,CAP_10PCT,1,0.0531,0.1,1,1,1
ecom|s5|r1|NESTED|w1|CELL,CELL,1,0.0531,1.0,1,1,1
ecom|s5|r1|NESTED|w2|WORKLOAD,WORKLOAD,1,0.0531,1.0,1,1,1
ecom|s5|r1|NESTED|w2|CAP_10PCT,CAP_10PCT,1,0.0531,0.1,1,1,1
ecom|s5|r1|NESTED|w2|CELL,CELL,1,0.0531,1.0,1,1,1
ecom|s5|r1|NESTED|w4|WORKLOAD,WORKLOAD,1,0.0531,1.0,1,1,1
ecom|s5|r1|NESTED|w4|CAP_10PCT,CAP_10PCT,1,0.0531,0.1,1,1,1
ecom|s5|r1|NESTED|w4|CELL,CELL,1,0.0531,1.0,1,1,1
ecom|s5|r10|DISJOINT|w1|WORKLOAD,WORKLOAD,10,0.4056,1.0,1,1,1
ecom|s5|r10|DISJOINT|w1|CAP_10PCT,CAP_10PCT,10,0.4056,0.1,0,1,0
ecom|s5|r10|DISJOINT|w1|CELL,CELL,10,0.4056,0.1,0,1,0
ecom|s5|r10|DISJOINT|w2|WORKLOAD,WORKLOAD,10,0.4001,1.0,1,1,1
ecom|s5|r10|DISJOINT|w2|CAP_10PCT,CAP_10PCT,10,0.4001,0.1,0,1,0
ecom|s5|r10|DISJOINT|w2|CELL,CELL,10,0.4001,0.1,0,1,0
ecom|s5|r10|DISJOINT|w4|WORKLOAD,WORKLOAD,10,0.4055,1.0,1,1,1
ecom|s5|r10|DISJOINT|w4|CAP_10PCT,CAP_10PCT,10,0.4055,0.1,0,1,0
ecom|s5|r10|DISJOINT|w4|CELL,CELL,10,0.4055,0.1,0,1,0
ecom|s5|r10|OVERLAP|w1|WORKLOAD,WORKLOAD,10,0.2438,1.0,1,1,1
ecom|s5|r10|OVERLAP|w1|CAP_10PCT,CAP_10PCT,10,0.2438,0.1,0,1,0
ecom|s5|r10|OVERLAP|w1|CELL,CELL,10,0.2438,0.1,0,1,0
ecom|s5|r10|OVERLAP|w2|WORKLOAD,WORKLOAD,10,0.2458,1.0,1,1,1
ecom|s5|r10|OVERLAP|w2|CAP_10PCT,CAP_10PCT,10,0.2458,0.1,0,1,0
ecom|s5|r10|OVERLAP|w2|CELL,CELL,10,0.2458,0.1,0,1,0
ecom|s5|r10|OVERLAP|w4|WORKLOAD,WORKLOAD,10,0.2435,1.0,1,1,1
ecom|s5|r10|OVERLAP|w4|CAP_10PCT,CAP_10PCT,10,0.2435,0.1,0,1,0
ecom|s5|r10|OVERLAP|w4|CELL,CELL,10,0.2435,0.1,0,1,0
ecom|s5|r10|NESTED|w1|WORKLOAD,WORKLOAD,10,0.0926,1.0,1,1,1
ecom|s5|r10|NESTED|w1|CAP_10PCT,CAP_10PCT,10,0.0926,0.1,1,1,1
ecom|s5|r10|NESTED|w1|CELL,CELL,10,0.0926,0.1,1,1,1
ecom|s5|r10|NESTED|w2|WORKLOAD,WORKLOAD,10,0.0926,1.0,1,1,1
ecom|s5|r10|NESTED|w2|CAP_10PCT,CAP_10PCT,10,0.0926,0.1,1,1,1
ecom|s5|r10|NESTED|w2|CELL,CELL,10,0.0926,0.1,1,1,1
ecom|s5|r10|NESTED|w4|WORKLOAD,WORKLOAD,10,0.0926,1.0,1,1,1
ecom|s5|r10|NESTED|w4|CAP_10PCT,CAP_10PCT,10,0.0926,0.1,1,1,1
ecom|s5|r10|NESTED|w4|CELL,CELL,10,0.0926,0.1,1,1,1
ecom|s5|r50|DISJOINT|w1|WORKLOAD,WORKLOAD,50,0.9223,1.0,1,1,1
ecom|s5|r50|DISJOINT|w1|CAP_10PCT,CAP_10PCT,50,0.9223,0.1,0,0,1
ecom|s5|r50|DISJOINT|w1|CELL,CELL,50,0.9223,0.02,0,0,1
ecom|s5|r50|DISJOINT|w2|WORKLOAD,WORKLOAD,50,0.9246,1.0,1,1,1
ecom|s5|r50|DISJOINT|w2|CAP_10PCT,CAP_10PCT,50,0.9246,0.1,0,0,1
ecom|s5|r50|DISJOINT|w2|CELL,CELL,50,0.9246,0.02,0,0,1
ecom|s5|r50|DISJOINT|w4|WORKLOAD,WORKLOAD,50,0.9255,1.0,1,1,1
ecom|s5|r50|DISJOINT|w4|CAP_10PCT,CAP_10PCT,50,0.9255,0.1,0,0,1
ecom|s5|r50|DISJOINT|w4|CELL,CELL,50,0.9255,0.02,0,0,1
ecom|s5|r50|OVERLAP|w1|WORKLOAD,WORKLOAD,50,0.721,1.0,1,1,1
ecom|s5|r50|OVERLAP|w1|CAP_10PCT,CAP_10PCT,50,0.721,0.1,0,0,1
ecom|s5|r50|OVERLAP|w1|CELL,CELL,50,0.721,0.02,0,0,1
ecom|s5|r50|OVERLAP|w2|WORKLOAD,WORKLOAD,50,0.7271,1.0,1,1,1
ecom|s5|r50|OVERLAP|w2|CAP_10PCT,CAP_10PCT,50,0.7271,0.1,0,0,1
ecom|s5|r50|OVERLAP|w2|CELL,CELL,50,0.7271,0.02,0,0,1
ecom|s5|r50|OVERLAP|w4|WORKLOAD,WORKLOAD,50,0.7266,1.0,1,1,1
ecom|s5|r50|OVERLAP|w4|CAP_10PCT,CAP_10PCT,50,0.7266,0.1,0,0,1
ecom|s5|r50|OVERLAP|w4|CELL,CELL,50,0.7266,0.02,0,0,1
ecom|s5|r50|NESTED|w1|WORKLOAD,WORKLOAD,50,0.099,1.0,1,1,1
ecom|s5|r50|NESTED|w1|CAP_10PCT,CAP_10PCT,50,0.099,0.1,1,1,1
ecom|s5|r50|NESTED|w1|CELL,CELL,50,0.099,0.02,0,0,1
ecom|s5|r50|NESTED|w2|WORKLOAD,WORKLOAD,50,0.099,1.0,1,1,1
ecom|s5|r50|NESTED|w2|CAP_10PCT,CAP_10PCT,50,0.099,0.1,1,1,1
ecom|s5|r50|NESTED|w2|CELL,CELL,50,0.099,0.02,0,0,1
ecom|s5|r50|NESTED|w4|WORKLOAD,WORKLOAD,50,0.099,1.0,1,1,1
ecom|s5|r50|NESTED|w4|CAP_10PCT,CAP_10PCT,50,0.099,0.1,1,1,1
