domain,mode,s_pct,reuse,coverage,A_amortized,B_amortized,C_amortized,C_over_A,C_over_B,A_rows,B_rows,C_rows,quality_A,quality_B,quality_C
finproc,PRED_DISTINCT,50,50,1.0,0.09868640,1.22324684,0.09868640,1.0,0.0807,20000,250278,20000,0.5,0.5,0.5
finproc,PRED_DISTINCT,50,100,1.0,0.04984320,1.22134082,0.04984320,1.0,0.0408,20000,499672,20000,0.5,0.5,0.5
finproc,PRED_DISTINCT,75,1,0.76,2.32316000,1.76596800,1.76596800,0.7602,1.0,10000,7600,7600,0.0,0.0,0.0
finproc,PRED_DISTINCT,75,10,1.0,0.48943200,1.82533140,0.48899360,0.9991,0.2679,20000,74691,19982,0.5,0.5,0.5
finproc,PRED_DISTINCT,75,50,1.0,0.09868640,1.83206116,0.09868640,1.0,0.0539,20000,374895,20000,0.5,0.5,0.5
finproc,PRED_DISTINCT,75,100,1.0,0.04984320,1.83254938,0.04984320,1.0,0.0272,20000,749980,20000,0.5,0.5,0.5
finproc,PRED_DISTINCT,100,1,1.0,2.32316000,2.32316000,2.32316000,1.0,1.0,10000,10000,10000,0.0,0.0,0.0
finproc,PRED_DISTINCT,100,10,1.0,0.48943200,2.44316000,0.48943200,1.0,0.2003,20000,100000,20000,0.5,0.5,0.5
finproc,PRED_DISTINCT,100,50,1.0,0.09868640,2.44316000,0.09868640,1.0,0.0404,20000,500000,20000,0.5,0.5,0.5
finproc,PRED_DISTINCT,100,100,1.0,0.04984320,2.44316000,0.04984320,1.0,0.0204,20000,1000000,20000,0.5,0.5,0.5
