block,s,reuse,strategy,semantic_total_cost,udf_total_cost,delta_cost,cost_ratio,semantic_rows_built,udf_rows_built,semantic_validation_cost,udf_validation_cost,semantic_tokens,udf_tokens,oracle,semantic_over_oracle
2A_cost_matched_udf,25,100,B,130.0109,130.0109,0.0,1.0,502200,502200,0.0,0.0,50513700,50513700,1.3120466,99.0902
2A_cost_matched_udf,25,100,C,1.3120466,1.3120466,0.0,1.0,5022,5022,0.0040176,0.0,505137,505137,1.3120466,1.0
2A_cost_matched_udf,25,100,D,6.502245,6.502245,0.0,1.0,25022,25022,0.016,0.0,2516861,2516861,1.3120466,4.9558
2A_cost_matched_udf,50,1,A,5.194296,5.194296,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,2.56496,2.0251
2A_cost_matched_udf,50,1,B,2.56496,2.56496,0.0,1.0,9904,9904,0.0,0.0,996536,996536,2.56496,1.0
2A_cost_matched_udf,50,1,C,2.5728832,2.5728832,0.0,1.0,9904,9904,0.0079232,0.0,996536,996536,2.56496,1.0031
2A_cost_matched_udf,50,1,D,2.56496,2.56496,0.0,1.0,9904,9904,0.0,0.0,996536,996536,2.56496,1.0
2A_cost_matched_udf,50,10,A,5.195016,5.195016,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,2.5736032,2.0186
2A_cost_matched_udf,50,10,B,25.6496,25.6496,0.0,1.0,99040,99040,0.0,0.0,9965360,9965360,2.5736032,9.9664
2A_cost_matched_udf,50,10,C,2.5736032,2.5736032,0.0,1.0,9904,9904,0.0079232,0.0,996536,996536,2.5736032,1.0
2A_cost_matched_udf,50,10,D,7.759896,7.759896,0.0,1.0,29904,29904,0.016,0.0,3008260,3008260,2.5736032,3.0152
2A_cost_matched_udf,50,50,A,5.198216,5.198216,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,2.5768032,2.0173
2A_cost_matched_udf,50,50,B,128.248,128.248,0.0,1.0,495200,495200,0.0,0.0,49826800,49826800,2.5768032,49.7702
2A_cost_matched_udf,50,50,C,2.5768032,2.5768032,0.0,1.0,9904,9904,0.0079232,0.0,996536,996536,2.5768032,1.0
2A_cost_matched_udf,50,50,D,7.763096,7.763096,0.0,1.0,29904,29904,0.016,0.0,3008260,3008260,2.5768032,3.0127
2A_cost_matched_udf,50,100,A,5.202216,5.202216,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,2.5808032,2.0157
2A_cost_matched_udf,50,100,B,256.496,256.496,0.0,1.0,990400,990400,0.0,0.0,99653600,99653600,2.5808032,99.3861
2A_cost_matched_udf,50,100,C,2.5808032,2.5808032,0.0,1.0,9904,9904,0.0079232,0.0,996536,996536,2.5808032,1.0
2A_cost_matched_udf,50,100,D,7.767096,7.767096,0.0,1.0,29904,29904,0.016,0.0,3008260,3008260,2.5808032,3.0096
2A_cost_matched_udf,100,1,A,5.194298,5.194298,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.178298,1.0031
2A_cost_matched_udf,100,1,B,5.178298,5.178298,0.0,1.0,20000,20000,0.0,0.0,2011724,2011724,5.178298,1.0
2A_cost_matched_udf,100,1,C,5.194298,5.194298,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.178298,1.0031
2A_cost_matched_udf,100,1,D,5.194298,5.194298,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.178298,1.0031
2A_cost_matched_udf,100,10,A,5.195036,5.195036,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.195036,1.0
2A_cost_matched_udf,100,10,B,51.78298,51.78298,0.0,1.0,200000,200000,0.0,0.0,20117240,20117240,5.195036,9.9678
2A_cost_matched_udf,100,10,C,5.195036,5.195036,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.195036,1.0
2A_cost_matched_udf,100,10,D,5.195036,5.195036,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.195036,1.0
2A_cost_matched_udf,100,50,A,5.198316,5.198316,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.198316,1.0
2A_cost_matched_udf,100,50,B,258.9149,258.9149,0.0,1.0,1000000,1000000,0.0,0.0,100586200,100586200,5.198316,49.8075
2A_cost_matched_udf,100,50,C,5.198316,5.198316,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.198316,1.0
2A_cost_matched_udf,100,50,D,5.198316,5.198316,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.198316,1.0
2A_cost_matched_udf,100,100,A,5.202416,5.202416,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.202416,1.0
2A_cost_matched_udf,100,100,B,517.8298,517.8298,0.0,1.0,2000000,2000000,0.0,0.0,201172400,201172400,5.202416,99.5364
2A_cost_matched_udf,100,100,C,5.202416,5.202416,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.202416,1.0
2A_cost_matched_udf,100,100,D,5.202416,5.202416,0.0,1.0,20000,20000,0.016,0.0,2011724,2011724,5.202416,1.0
